Name,Province,Transcription,Native,PopulationCensus1981-06-22,PopulationCensus1991-06-22,PopulationCensus2001-05-28,PopulationCensus2011-06-22,PopulationCensus2021-11-25,normalized_population_2021
Nawalparasi East,Gandaki,Navalapura,नवलपुर जिल्ला,149543,211228,272557,311604,378079,0.1829243554
Nawalparasi West,Lumbini,Parāsī,परासी जिल्ला,159285,224989,290313,331904,386868,0.1872413036
Nuwakot,Bagmati,Nuvākōṭa,नुवाकोट जिल्ला,202976,245260,288478,277471,263391,0.1265923321
Okhaldhunga,Koshi,Ōkhalaḍhuṅgā,ओखलढुङ्गा जिल्ला,137640,139457,156702,147984,139552,0.06576555469
Palpa,Lumbini,Pālpā,पाल्पा जिल्ला,214442,236313,268558,261180,245027,0.1175723711
Panchthar,Koshi,Pā̃cathara,पाँचथर जिल्ला,153746,175206,202056,191817,172400,0.08189971261
Parbat,Gandaki,Parvata,पर्वत जिल्ला,128400,143547,157826,146590,130887,0.06150951237
Parsa,Madhesh,Parsā,पर्सा जिल्ला,284338,372524,497219,601017,654471,0.3186815454
Pyuthan,Lumbini,Pyuṭhāna,प्युठान जिल्ला,157669,175469,212484,228102,232019,0.1111831503
Ramechhap,Bagmati,Rāmēchāpa,रामेछाप जिल्ला,161445,188064,212408,202646,170302,0.08086922481
Rasuwa,Bagmati,Rasuvā,रसुवा जिल्ला,30241,36744,44731,43300,46689,0.02015345329
Rautahat,Madhesh,Rautahaṭa,रौतहट जिल्ला,332526,414005,545132,686722,813573,0.3968286713
Rolpa,Lumbini,Rōlpā,रोल्पा जिल्ला,168166,179621,210004,224506,234793,0.1125456733
Rukum East,Lumbini,Purvī Rukuma,पुर्वी रुकुम जिल्ला,33770,39666,48051,53184,56786,0.02511286003
Rukum West,Karnali,Paścima Rukuma,पश्चिम रुकुम जिल्ला,98662,115888,140387,155383,166740,0.07911965496
Rupandehi,Lumbini,Rupandēhī,रुपन्देही जिल्ला,379096,522150,708419,880196,1121957,0.5482995723
Salyan,Karnali,Salyāna,सल्यान जिल्ला,152063,181785,213500,242444,238515,0.1143738313
Sankhuwasabha,Koshi,Saṅkhuvāsabhā,संखुवासभा जिल्ला,129414,141903,159203,158742,158041,0.07484691264
Saptari,Madhesh,Saptarī,सप्तरी जिल्ला,379055,465668,570282,639284,706255,0.344116617
Sarlahi,Madhesh,Sarlāhī,सर्लाही जिल्ला,398766,492798,635701,769729,862470,0.4208457171
Sindhuli,Bagmati,Sindhulī,सिन्धुली जिल्ला,183705,223900,279821,296192,300026,0.1445865745
Sindhupalchok,Bagmati,Sindhupālcōka,सिन्धुपाल्चोक जिल्ला,232326,261025,305857,287798,262624,0.1262155999
Siraha,Madhesh,Sirāhā,सिराहा जिल्ला,375358,460746,572399,637328,739953,0.3606682748
Solukhumbu,Koshi,Sōlukhumbu,सोलुखुम्बु जिल्ला,88245,97200,107686,105886,104851,0.04872124716
Sunsari,Koshi,Sunasarī,सुनसरी जिल्ला,344594,463481,625633,763487,926962,0.4525226567
Surkhet,Karnali,Surkhēta,सुर्खेत जिल्ला,166196,225768,288527,350804,415126,0.2011209625
Syangja,Gandaki,Syāṅjā,स्याङ्जा जिल्ला,271824,293526,317320,289148,253024,0.1215003077
Tanahu,Gandaki,Tanahũ,तनहुँ जिल्ला,223438,268073,315237,323288,321153,0.1549636554
Taplejung,Koshi,Tāplējuṅa,ताप्लेजुङ जिल्ला,120780,120053,134698,127461,120590,0.05645187037
Terhathum,Koshi,Tēhrathuma,तेह्रथुम जिल्ला,92454,102870,113111,101577,88731,0.04080348578
Udayapur,Koshi,Udayapura,उदयपुर जिल्ला,159805,221256,287689,317532,340721,0.1645749925
